Complexity,Loss,Equation
1,0.02823136,"0.71649367"
3,0.027284293,"249.33754 / Tfc"
4,0.010970187,"exp(ifc * -0.229922)"
5,0.010858358,"inv(log(ifc + 2.7495902))"
6,0.0105696,"inv((ifc * 0.2868409) + 1.0120518)"
7,0.009260322,"exp((inv(i0_c_ref) + ifc) * -0.22105232)"
8,0.008759338,"inv(exp(ifc * 0.20674461) + inv(i0_c_ref))"
9,0.007396055,"(i0_c_ref + 302.89352) / (Tfc + (ifc * 97.37452))"
10,0.0068364367,"(ifc * -0.14658587) + (log(Pa_des * i0_c_ref) * 0.059901953)"
12,0.005737937,"(ifc * -0.1474275) + (log(Pa_des * i0_c_ref) * (20.864273 / Tfc))"
14,0.0049397983,"(log(Pa_des * i0_c_ref) * ((kappa_c - -19.625483) / Tfc)) + (ifc * -0.1474275)"
16,0.004815831,"(log(Pa_des * i0_c_ref) * ((kappa_c - -19.627752) / Tfc)) + ((ifc * Tfc) * -0.00042480757)"
17,0.004396193,"(log(Pa_des * i0_c_ref) * ((kappa_c - -21.88134) / Tfc)) + (log(ifc + 1.1418785) * -0.3569289)"
19,0.0043282737,"(log(i0_c_ref * Pa_des) * ((kappa_c - -21.793362) / (tau + Tfc))) + (log(ifc + 1.1002212) * -0.35250014)"
20,0.0041872705,"((5.566172 - log(Tfc)) + exp(ifc * -0.19668856)) + (((Pa_des * 1.5634667e-7) + 0.019375514) * (log(i0_c_ref) + kappa_c))"
