Complexity,Loss,Equation
5,0.009514065,"a = 0.90058273; b = 0.019941503; c = -0.6247944; d = #1; e = -464.29092"
6,0.008808325,"a = 0.9046187; b = 0.01847638; c = 0.1142389; d = 0.19543499; e = neg(#2)"
7,0.007198134,"a = 1.2250018; b = -0.024798762; c = 0.11074213; d = 0.059185047; e = #2 / -9161.506"
8,0.0071494556,"a = 1.0227593; b = 0.0004803885; c = 0.091318995; d = 0.06314377; e = neg(#2 / #1)"
9,0.0059695155,"a = 2.2862282; b = -0.03949152; c = 0.121552244; d = #1 * 0.00017017373; e = #2 / -4.5018094e11"
11,0.0056475718,"a = 2.3060606; b = -0.03999087; c = 0.1216268; d = #1 * (#7 + 0.00016988182); e = #2 / -4.4656558e11"
12,0.005249784,"a = 2.4736876; b = -0.035263743; c = 0.12102662; d = (inv(#3) + 0.00015308073) * #1; e = #2 / -8.379938e13"
13,0.0047255447,"a = 1.8599554; b = -0.04243652; c = 0.12205426; d = #1 * ((5.548243 / #3) + 0.0001515628); e = #2 / -1.4933262e8"
14,0.00456822,"a = 1.5223595; b = -0.037974235; c = 0.120581955; d = ((0.024168948 / #3) + 3.669e-7) * square(#1); e = #2 / -1.2278232e6"
16,0.0043644393,"a = 1.5186383; b = -0.03772855; c = 0.12013402; d = square(#1) * ((0.024092132 / #3) + 3.6385708e-7); e = #2 / (#6 * -546737.1)"
17,0.0043402757,"a = 1.2234176; b = -0.024926912; c = 0.11364928; d = (#1 * ((14.608004 / #3) + 0.0006019175)) + -0.17761455; e = (#2 / -4643.2114) / #6"
18,0.0042007486,"a = 1.1120052; b = -0.011062817; c = 0.09470211; d = (#1 * ((20.683208 / #3) + 0.0008199815)) + -0.25730267; e = #2 / cube(#4 - 12.584188)"
19,0.0040824967,"a = 0.71415544; b = 0.036897507; c = 0.12507047; d = (#1 * ((10.012845 / #3) + 0.00035659366)) + -0.16234542; e = inv(cube(#2 / (#4 - 2.9607308)))"
20,0.0038511103,"a = 1.3654672; b = -0.03735315; c = 0.11924164; d = (#1 * ((10.370149 / #3) + 0.0004566655)) + -0.115545906; e = (#2 / #1) / cube(#4 - 7.0062475)"
22,0.0036133467,"a = 1.3619131; b = -0.033799753; c = 0.11812413; d = (((10.620432 / #3) + 0.00042173086) * #1) + -0.107206486; e = ((#2 / #1) / cube(#4 - 6.2745233)) / #6"
24,0.0035701834,"a = 1.4004726; b = -0.036224477; c = 0.11905976; d = (#1 * ((10.617315 / #3) + 0.0004085347)) + -0.10066635; e = ((#2 / #1) / cube(#4 - 6.2656374)) / (#6 - -0.97161895)"
26,0.0032042565,"a = 1.3998262 - (#7 * 13807.186); b = -0.033616845; c = 0.11834663; d = (#1 * ((10.899884 / #3) + 0.00042604326)) + -0.10881097; e = ((#2 / #1) / cube(#4 - 6.1835904)) / #6"
28,0.0032040891,"a = 1.3998753 - (#7 * 13826.096); b = #7 + -0.03362793; c = 0.118344866; d = (#1 * ((10.899903 / #3) + 0.0004258976)) + -0.108755074; e = ((#2 / #1) / cube(#4 - 6.1835876)) / #6"
30,0.0032040556,"a = 1.3998753 - (#7 * 13826.096); b = #7 + -0.03362793; c = #7 + 0.118344866; d = (#1 * ((10.899903 / #3) + 0.00042589768)) + -0.108755074; e = ((#2 / #1) / cube(#4 - 6.1835876)) / #6"
